8.025,3.355,1.672,13.053
8.001,4.109,3.133,15.244
7.825,5.27,2.343,15.44
7.566,4.901,3.883,16.351
7.249,4.799,2.096,14.146
7.769,5.065,2.444,15.279
7.2,4.558,2.851,14.61
7.001,4.685,2.302,13.99
7.159,4.016,2.285,13.461
7.372,3.462,2.182,13.017
7.496,4.165,1.68,13.341
7.299,4.015,1.814,13.129
6.682,3.206,1.84,11.73
7.707,5.066,2.589,15.363
7.212,5.566,2.546,15.326
7.537,4.259,1.728,13.525
7.446,5.212,1.759,14.418
7.033,3.215,2.038,12.287
7.522,4.525,1.882,13.93
7.19,5.227,2.474,14.892
7.28,3.567,2.244,13.092
7.411,3.633,1.64,12.684
7.133,3.669,2.395,13.198
7.607,4.968,1.515,14.092
7.418,4.486,1.702,13.607
7.035,3.181,2.277,12.494
7.694,4.904,1.877,14.476
7.275,4.662,3.239,15.178
7.684,5.436,2.174,15.295
7.11,4.347,2.518,13.977
7.704,3.263,2.045,13.012
7.988,3.276,2.664,13.929
7.37,3.231,2.16,12.762
7.501,4.657,4.073,16.231
7.873,5.069,2.061,15.004
7.512,5.119,2.305,14.937
7.192,4.193,1.966,13.352
7.771,5.437,3.388,16.596
7.98,4.558,3.551,16.09
7.625,4.712,2.577,14.915
7.421,5.384,2.328,15.133
7.942,4.45,2.381,14.773
7.997,5.791,2.279,16.068
7.681,3.61,2.261,13.553
7.747,3.588,2.594,13.93
7.65,5.197,1.85,14.699
7.689,4.388,2.505,14.583
7.336,5.429,1.983,14.749
7.853,6.13,2.165,16.149
7.182,3.769,1.722,12.674
7.824,3.258,2.019,13.102
7.883,4.477,2.031,14.393
7.253,4.992,1.941,14.187
6.956,4.806,1.914,13.677
7.64,4.939,2.011,14.591
7.173,4.543,3.825,15.543
7.608,3.643,2.115,13.367
7.74,4.912,2.509,15.162
7.685,4.729,2.563,14.977
7.49,4.473,2.136,14.099
7.817,4.699,2.973,15.489
7.344,4.843,3.035,15.222
7.826,4.632,2.218,14.677
7.815,5.605,2.283,15.704
7.588,4.622,2.81,15.021
7.502,3.67,3.157,14.329
7.371,3.689,2.657,13.718
7.505,3.824,2.631,13.96
7.805,5.347,2.823,15.976
7.38,5.39,3.176,15.947
7.175,5.701,4.513,17.39
7.937,4.717,3.079,15.734
7.915,5.707,3.836,17.459
7.635,4.139,3.773,15.548
7.685,5.279,3.017,15.982
7.911,3.845,2.596,14.353
7.69,5.379,3.738,16.809
7.268,4.059,2.926,14.255
8.16,4.347,2.96,15.468
7.784,5.279,2.895,15.959
7.156,5.101,3.025,15.283
7.764,5.138,3.165,16.068
7.114,3.61,2.871,13.596
7.437,5.198,4.753,17.388
