50.19,20.16,8.726,79.076
50.605,19.979,12.562,83.147
54.063,21.245,13.639,88.948
51.472,21.965,12.564,86.002
54.555,22.193,12.493,89.242
54.156,22.497,12.022,88.676
53.696,21.564,13.232,88.493
51.781,22.736,11.918,86.437
54.911,20.692,11.965,87.569
51.622,21.04,12.577,85.241
54.109,22.679,14.031,90.82
49.933,20.201,11.996,82.131
50.268,19.868,13.912,84.049
51.628,20.104,11.207,82.94
49.916,20.224,11.076,81.217
52.528,22.566,10.892,85.987
53.673,20.344,10.812,84.83
54.083,20.793,11.714,86.591
52.091,21.008,11.807,84.907
50.361,21.366,9.658,81.386
54.609,22.252,10.228,87.089
53.658,20.344,9.987,83.991
51.69,20.318,11.515,83.524
50.161,21.12,10.045,81.327
56.193,22.678,9.985,88.857
57.631,22.365,10.071,90.068
57.028,20.215,8.821,86.065
57.128,20.246,9.029,86.404
58.058,21.389,8.371,87.82
53.828,19.8,9.411,83.04
50.985,21.989,9.432,82.408
52.974,20.437,8.033,81.445
51.96,19.696,11.074,82.731
52.903,22.126,9.232,84.262
54.018,20.057,10.804,84.88
53.855,23.412,10.745,88.013
50.063,19.425,10.32,79.809
53.137,19.337,9.848,82.323
52.168,20.759,8.948,81.876
51.309,19.439,9.843,80.592
50.629,20.187,9.129,79.947
51.718,20.886,9.394,81.999
57.341,19.771,8.503,85.616
52.32,20.482,10.22,83.023
51.298,20.514,8.746,80.559
48.88,19.807,8.316,77.005
49.763,19.913,8.398,78.075
50.583,19.24,8.518,78.342
48.549,19.452,8.551,76.554
48.464,19.583,9.014,77.062
49.168,21.057,8.919,79.145
49.04,19.853,10.827,79.72
53.07,20.736,11.65,85.457
51.996,22.998,11.93,86.925
54.709,21.182,10.05,85.941
51.383,21.55,10.431,83.366
51.27,22.742,8.802,82.814
53.538,19.913,9.33,82.783
54.698,22.485,8.874,86.059
54.318,20.36,8.526,83.205
54.929,20.99,9.487,85.407
57.908,22.545,10.103,90.557
58.072,22.383,10.404,90.86
53.004,22.318,9.697,85.019
55.484,22.016,10.069,87.57
52.373,20.93,9.817,83.121
55.304,21.25,12.151,88.706
56.903,22.62,10.066,89.59
52.987,19.888,12.439,85.315
58.742,21.982,12.505,93.23
53.376,21.401,11.455,86.234
56.442,19.61,11.371,87.424
55.876,21.104,11.082,88.063
57.827,22.367,12.863,93.058
50.737,20.728,11.364,82.831
50.866,20.014,10.32,81.201
53.018,21.223,9.295,83.537
53.711,21.976,9.219,84.907
51.826,23.031,9.306,84.165
53.588,20.52,10.936,85.045
50.656,20.606,11.726,82.989
51.382,20.038,9.996,81.417
51.615,22.968,10.878,85.461
52.096,21.127,9.905,83.129
52.648,22.491,10.831,85.971
57.383,22.181,13.878,93.442
56.307,21.832,10.725,88.865
51.592,21.247,11.602,84.442
53.864,21.458,10.43,85.753
53.069,19.775,10.844,83.688
55.9,20.752,11.105,87.757
59.281,20.526,11.659,91.467
53.917,22.71,12.66,89.288
60.134,20.186,11.798,92.118
57.13,22.336,11.54,91.007
60.336,22.163,12.755,95.255
50.96,20.16,10.97,82.09
51.372,20.7,10.266,82.339
50.343,20.151,11.636,82.131
49.344,20.702,11.872,81.919
51.633,19.839,10.544,82.017
54.46,22.054,9.258,85.774
53.123,20.366,6.427,79.917
51.629,21.397,8.409,81.436
57.935,19.985,7.001,84.922
52.373,21.327,8.144,81.844
55.278,22.221,9.49,86.99
56.677,21.211,8.565,86.454
57.752,20.793,8.033,86.579
55.903,20.522,10.127,86.554
52.573,22.811,9.077,84.462
54.549,20.755,9.945,85.25
55.41,22.102,13.007,90.52
54.486,22.867,13.302,90.657
53.311,20.094,12.568,85.974
57.96,21.371,13.91,93.243
57.029,20.493,12.363,89.885
51.56,20.058,13.331,84.95
50.806,19.923,14.593,85.322
51.774,21.194,14.229,87.199
50.699,20.916,12.433,84.048
49.937,19.985,11.47,81.392
55.151,20.712,12.014,87.878
51.774,20.459,13.26,85.493
51.911,21.825,12.092,85.829
55.906,22.66,13.714,92.281
55.485,20.21,11.125,86.821
51.888,22.263,13.248,87.4
54.022,22.482,11.337,87.842
55.932,22.176,11.734,89.842
53.012,23.238,11.382,87.633
50.718,20.796,10.493,82.008
55.898,20.547,10.173,86.619
53.949,21.087,10.515,85.551
57.625,21.417,11.018,90.061
54.156,20.432,9.918,84.507
54.845,22.822,10.534,88.202
50.751,20.117,9.293,80.162
51.877,19.69,8.387,79.954
47.419,19.72,9.724,76.864
49.93,21.13,10.26,81.321
52.437,20.12,10.125,82.683
47.242,19.872,10.332,77.447
48.211,20.382,8.781,77.374
46.899,19.403,9.609,75.912
48.231,19.864,9.17,77.267
46.734,19.659,9.072,75.467
47.066,19.463,9.567,76.097
51.296,20.053,8.126,79.476
46.664,19.718,9.526,75.909
49.134,20.206,10.609,79.951
47.369,19.68,8.747,75.797
47.914,19.772,9.767,77.453
47.356,19.685,10.433,77.474
52.274,21.638,9.633,83.547
53.097,23.284,8.784,85.165
57.076,20.576,9.715,87.368
52.044,20.168,9.977,82.191
52.63,19.741,10.722,83.093
51.779,21.835,10.93,84.545
53.238,21.208,10.792,85.239
51.715,20.221,9.718,81.656
47.327,19.616,8.844,75.788
46.502,19.401,9.148,75.052
46.325,19.743,10.778,76.847
46.865,19.574,9.765,76.204
48.706,19.262,10.767,78.735
50.227,23.041,9.621,82.89
56.191,22.16,10.253,88.605
52.143,21.116,10.365,83.624
52.505,22.535,9.454,84.496
53.734,23.412,9.81,86.957
50.717,21.92,9.892,82.53
48.569,19.958,10.047,78.574
48.289,19.552,8.311,76.152
50.322,19.671,9.906,79.901
47.871,19.455,9.538,76.865
48.911,19.656,10.502,79.071
47.735,19.957,8.316,76.009
47.614,19.38,8.182,75.178
47.731,19.582,8.516,75.831
